Incident ID,Incident Date,Location,Department,Incident Type,Severity,Lost Time Injury,Days Lost,Root Cause,Corrective Action,Responsible Owner,Target Close Date,Status
HSE-0001,2025-08-21,Narayanganj Production Plant,Production,Unsafe Condition,Low,No,0,Slip / Trip,5S housekeeping action,Md. Shahidul Islam,2025-08-30,In Progress
HSE-0002,2025-01-19,Gazipur Manufacturing Unit,Production,Near Miss,Low,No,0,Inadequate Guarding,PPE reinforcement,Md. Shahidul Islam,2025-02-14,Closed
HSE-0003,2025-01-28,Gazipur Manufacturing Unit,Production,Medical Treatment Case,Medium,No,0,Housekeeping,Supervisor coaching,Abdul Karim,2025-02-13,Closed
HSE-0004,2025-01-28,Rajshahi Regional Office,Production,Near Miss,Low,No,0,Inadequate Guarding,PPE reinforcement,Md. Shahidul Islam,2025-02-17,Closed
HSE-0005,2025-11-19,Dhaka Corporate Office,Production,Property Damage,Medium,No,0,Manual Handling,Preventive maintenance completed,Md. Shahidul Islam,2025-12-10,Closed
HSE-0006,2025-06-21,Chattogram Distribution Hub,Quality Assurance,Property Damage,Medium,No,0,Equipment Condition,Toolbox talk and retraining,Dr. Samira Sultana,2025-07-03,Closed
HSE-0007,2025-10-11,Narayanganj Production Plant,Supply Chain & Logistics,Lost Time Injury,High,Yes,4,Equipment Condition,Toolbox talk and retraining,Mahmudul Hasan,2025-11-02,Closed
HSE-0008,2025-09-13,Gazipur Manufacturing Unit,Production,First Aid Case,Low,No,0,Equipment Condition,Engineering control installed,Abdul Karim,2025-09-29,Closed
HSE-0009,2025-10-07,Rajshahi Regional Office,Engineering & Maintenance,First Aid Case,Low,No,0,Unsafe Act,Engineering control installed,Md. Moniruzzaman,2025-11-04,Closed
HSE-0010,2025-12-18,Chattogram Distribution Hub,Engineering & Maintenance,Lost Time Injury,High,Yes,3,Procedure Not Followed,SOP revised,Rakibul Hasan,2025-12-25,Closed
HSE-0011,2025-09-15,Gazipur Manufacturing Unit,Production,Lost Time Injury,High,Yes,4,Equipment Condition,Toolbox talk and retraining,Abdul Karim,2025-10-13,Closed
HSE-0012,2025-04-13,Gazipur Manufacturing Unit,Quality Assurance,Property Damage,Medium,No,0,PPE Non-compliance,Engineering control installed,Dr. Samira Sultana,2025-04-22,Closed
HSE-0013,2025-06-17,Gazipur Manufacturing Unit,Production,Unsafe Condition,Low,No,0,Slip / Trip,SOP revised,Abdul Karim,2025-07-07,Closed
